# Columnas:
# 1. rho_input  : Coeficiente de correlación introducido en las matrices de covarianza.
# 2. Vud_mean   : Valor central (media) obtenido para |Vud|.
# 3. Vud_sdev   : Incertidumbre (desviación estándar) de |Vud|.
# 4. Vus_mean   : Valor central (media) obtenido para |Vus|.
# 5. Vus_sdev   : Incertidumbre (desviación estándar) de |Vus|.
# 6. rho_ajuste : Coeficiente de correlación final entre |Vud| y |Vus| (lsqfit).
# 7. chi2        : Valor de chi-cuadrado/ grados de libertad del ajuste.
# =========================================================================
 rho_input  	  Vud_mean  	  Vud_sdev  	  Vus_mean  	  Vus_sdev  	 rho_ajuste 	    chi2    
    0.333333	    0.973900	    0.000288	    0.223824	    0.000339	   -0.051405	    3.770227
    0.353535	    0.973897	    0.000288	    0.223820	    0.000340	   -0.052598	    3.803652
    0.373737	    0.973894	    0.000288	    0.223816	    0.000342	   -0.053782	    3.839302
    0.393939	    0.973890	    0.000288	    0.223811	    0.000344	   -0.054960	    3.877393
    0.414141	    0.973886	    0.000288	    0.223807	    0.000346	   -0.056133	    3.918167
    0.434343	    0.973881	    0.000288	    0.223803	    0.000348	   -0.057303	    3.961903
    0.454545	    0.973877	    0.000288	    0.223799	    0.000349	   -0.058472	    4.008918
    0.474747	    0.973872	    0.000288	    0.223794	    0.000351	   -0.059641	    4.059577
    0.494949	    0.973866	    0.000288	    0.223790	    0.000353	   -0.060813	    4.114304
    0.515152	    0.973860	    0.000288	    0.223785	    0.000355	   -0.061991	    4.173589
    0.535354	    0.973853	    0.000287	    0.223781	    0.000356	   -0.063176	    4.238005
    0.555556	    0.973846	    0.000287	    0.223776	    0.000358	   -0.064373	    4.308227
    0.575758	    0.973838	    0.000287	    0.223771	    0.000360	   -0.065585	    4.385055
    0.595960	    0.973829	    0.000287	    0.223766	    0.000361	   -0.066816	    4.469440
    0.616162	    0.973819	    0.000287	    0.223761	    0.000363	   -0.068071	    4.562529
    0.636364	    0.973809	    0.000286	    0.223755	    0.000364	   -0.069357	    4.665714
    0.656566	    0.973796	    0.000286	    0.223750	    0.000366	   -0.070681	    4.780700
    0.676768	    0.973783	    0.000286	    0.223743	    0.000367	   -0.072053	    4.909600
    0.696970	    0.973767	    0.000285	    0.223737	    0.000369	   -0.073483	    5.055066
    0.717172	    0.973750	    0.000285	    0.223730	    0.000370	   -0.074987	    5.220469
    0.737374	    0.973729	    0.000284	    0.223722	    0.000372	   -0.076583	    5.410162
    0.757576	    0.973706	    0.000284	    0.223714	    0.000373	   -0.078296	    5.629870
    0.777778	    0.973678	    0.000283	    0.223704	    0.000375	   -0.080159	    5.887269
    0.797980	    0.973645	    0.000282	    0.223694	    0.000376	   -0.082219	    6.192896
    0.818182	    0.973605	    0.000281	    0.223682	    0.000378	   -0.084541	    6.561628
    0.838384	    0.973555	    0.000280	    0.223667	    0.000379	   -0.087222	    7.015162
    0.858586	    0.973493	    0.000279	    0.223649	    0.000380	   -0.090410	    7.586430
    0.878788	    0.973413	    0.000277	    0.223627	    0.000382	   -0.094347	    8.327961
    0.898990	    0.973303	    0.000274	    0.223599	    0.000383	   -0.099455	    9.328996
    0.919192	    0.973147	    0.000270	    0.223559	    0.000384	   -0.106537	   10.754359
    0.939394	    0.972908	    0.000264	    0.223500	    0.000385	   -0.117356	   12.945957
    0.959596	    0.972491	    0.000253	    0.223402	    0.000386	   -0.136683	   16.747950
    0.979798	    0.971588	    0.000227	    0.223201	    0.000387	   -0.184022	   24.964159
    1.000000	    0.968167	    0.000064	    0.222563	    0.000387	   -1.000000	   55.891082
